지역,대학명,전형명,학과명,2026등급컷I,2026등급컷II,2026등급컷III,2025등급컷,2025등급컷2,25년합격cutI기준,25년합격CUTII기준,,26년합격cut I기준,26년합격cut II 기준,26년합격cut III기준,,
경남,가야대학교,가야인재전형 ,간호학과,,,,3.88,3.6,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,가야인재전형 ,물리치료학과,,,,4.25,4.03,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,농어촌학생전형 ,간호학과,,,,4,3.75,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,일반학생전형 ,특수교육과(초등특수전공),,,,5.38,4.5,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,일반학생전형 ,사회복지상담학과,,,,,,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,일반학생전형 ,간호학과,,,,3.5,2.75,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,일반학생전형 ,물리치료학과,,,,2.63,2.63,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,일반학생전형 ,스포츠재활복지학과,,,,5,4.63,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,저소득층기회균형 ,간호학과,,,,3.88,3.88,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,저소득층기회균형 ,물리치료학과,,,,4.5,4.25,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,지역인재 (저소득층 전형),간호학과,,,,3.75,3.75,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,지역인재전형 ,간호학과,,,,3.75,3.16,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,지역인재전형 ,물리치료학과,,,,3.25,2.86,최종등록자70%컷,최종등록자50%컷,,,,,,
경남,가야대학교,특성화고교졸업자전형 ,간호학과,,,,2.63,2.13,최종등록자70%컷,최종등록자50%컷,,,,,,
인천,가천대학교,논술전형 ,"AI인문대학(한국어문학과,영미영문학과,중국어문학과,일본어문학과,유럽어문학과)",4.67,5.29,6.16,5.84,5.03,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,논술전형 ,간호학과,3.93,4.49,5.6,5.01,4.26,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,논술전형 ,건설환경공학과(토목환경공학과),4.69,5.07,5.76,5.93,4.93,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
인천,가천대학교,논술전형 ,건축공학과,4.28,5.46,5.98,,,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
